condition,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,repeat
shuffled_group,group_mean,10,0.16198572500233996,0.16282646879780088,0.0,0
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,0
shuffled_group,group_calibrated_hybrid,10,0.09054271759972345,0.23426947620041744,0.0,0
shuffled_group,group_oracle_rate,10,0.08781762329936897,0.23699457050077188,0.0,0
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,0
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,0
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,0
shuffled_group,group_mean,10,0.18579397253965388,0.13901822126048696,0.2,1
shuffled_group,group_calibrated_hybrid,10,0.12445830086279427,0.20035389293734657,0.1,1
shuffled_group,group_oracle_rate,10,0.19550304884814815,0.1293091449519927,0.0,1
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,1
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,1
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,1
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,1
shuffled_group,group_mean,10,0.18045805163293346,0.14435414216720738,0.0,2
shuffled_group,group_calibrated_hybrid,10,0.13589502543282733,0.1889171683673135,0.0,2
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,2
shuffled_group,group_oracle_rate,10,0.08111645786169158,0.2436957359384493,0.0,2
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,2
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,2
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,2
shuffled_group,group_mean,10,0.13781029323201094,0.18700190056812988,0.1,3
shuffled_group,group_oracle_rate,10,0.14072200251456995,0.1840901912855709,0.0,3
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,3
shuffled_group,group_calibrated_hybrid,10,0.09108561014824905,0.2337265836518918,0.0,3
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,3
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,3
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,3
shuffled_group,group_mean,10,0.1397608553111686,0.18505133848897226,0.0,4
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,4
shuffled_group,group_oracle_rate,10,0.10053669574101291,0.22427549805912794,0.0,4
shuffled_group,group_calibrated_hybrid,10,0.09459531034955113,0.23021688345058972,0.0,4
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,4
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,4
