condition,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5
real,R1136,compact,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS470_4,TS470,0.0273228724751216,0.4315923170343407,False
real,R1136,low_clash,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS029_1,TS029,casp15_R1136TS245_2,TS245,0.026782384047523,0.43213280546193933,False
real,R1136,contact,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS238_1,TS238,0.0344501159144327,0.4244650735950296,False
real,R1136,group_mean,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS232_4,TS232,casp15_R1136TS232_3,TS232,0.4589151895094623,0.0,True
real,R1136,group_oracle_rate,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS232_4,TS232,casp15_R1136TS232_3,TS232,0.4589151895094623,0.0,True
real,R1136,group_calibrated_hybrid,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS232_3,TS232,0.4589151895094623,0.0,True
real,R1138,hybrid,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_3,TS238,casp15_R1138TS229_2,TS229,0.0376323810511412,0.1623584312330213,False
real,R1138,compact,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_4,TS238,casp15_R1138TS229_2,TS229,0.0376323810511412,0.1623584312330213,False
real,R1138,low_clash,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS029_1,TS029,casp15_R1138TS239_4,TS239,0.0322660694211106,0.1677247428630519,False
real,R1138,contact,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_4,TS238,casp15_R1138TS238_1,TS238,0.0537723825417439,0.14621842974241858,False
real,R1138,group_mean,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS232_5,TS232,casp15_R1138TS232_4,TS232,0.1999908122841625,0.0,True
real,R1138,group_oracle_rate,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS232_2,TS232,casp15_R1138TS232_4,TS232,0.1999908122841625,0.0,True
real,R1138,group_calibrated_hybrid,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_3,TS238,casp15_R1138TS232_4,TS232,0.1999908122841625,0.0,True
real,R1149,hybrid,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False
real,R1149,compact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS248_1,TS248,0.0706908549370631,0.17609690705998599,False
real,R1149,low_clash,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_1,TS029,casp15_R1149TS239_4,TS239,0.0563144538836455,0.1904733081134036,False
real,R1149,contact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False
real,R1149,group_mean,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS232_5,TS232,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
real,R1149,group_oracle_rate,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS232_1,TS232,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
real,R1149,group_calibrated_hybrid,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
real,R1156,hybrid,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False
real,R1156,compact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS235_5,TS235,0.0404463493129894,0.22338422324851048,False
real,R1156,low_clash,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS029_1,TS029,casp15_R1156TS239_1,TS239,0.0533013756564594,0.2105291969050405,False
real,R1156,contact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False
real,R1156,group_mean,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_5,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
real,R1156,group_oracle_rate,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_1,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
real,R1156,group_calibrated_hybrid,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_5,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
mask_oracle_group,R1107,hybrid,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS054,0.1191397753415253,0.1985130833032568,False
mask_oracle_group,R1107,compact,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS125_1,TS125,0.120924050831857,0.1967288078129251,False
mask_oracle_group,R1107,low_clash,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS029_1,TS029,casp15_R1107TS287_4,TS287,0.1603577049038492,0.1572951537409329,False
mask_oracle_group,R1107,contact,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS054,0.1191397753415253,0.1985130833032568,False
mask_oracle_group,R1107,group_mean,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS287_3,TS287,casp15_R1107TS287_2,TS287,0.1643040795164988,0.1533487791282833,False
mask_oracle_group,R1107,group_oracle_rate,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS128_1,TS128,casp15_R1107TS128_3,TS128,0.1911698394720534,0.1264830191727287,False
mask_oracle_group,R1107,group_calibrated_hybrid,casp15_R1107TS232_1,TS232,0.3176528586447821,casp15_R1107TS128_5,TS128,casp15_R1107TS128_3,TS128,0.1911698394720534,0.1264830191727287,False
mask_oracle_group,R1108,hybrid,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS385_4,TS385,casp15_R1108TS489_5,TS489,0.0832001107027511,0.2430420215906274,False
mask_oracle_group,R1108,compact,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS385_4,TS385,casp15_R1108TS489_5,TS489,0.0832001107027511,0.2430420215906274,False
mask_oracle_group,R1108,low_clash,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS029_1,TS029,casp15_R1108TS287_4,TS287,0.198204634662693,0.1280374976306855,False
mask_oracle_group,R1108,contact,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS385_4,TS385,casp15_R1108TS489_5,TS489,0.0832001107027511,0.2430420215906274,False
mask_oracle_group,R1108,group_mean,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS287_1,TS287,casp15_R1108TS287_2,TS287,0.2034954556288999,0.12274667666447861,False
mask_oracle_group,R1108,group_oracle_rate,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS128_1,TS128,casp15_R1108TS128_3,TS128,0.2310399906933972,0.0952021415999813,False
