contract_version,benchmark,benchmark_kind,method,label_metric,n_targets,n_candidates,label_coverage,mean_selected_label,mean_oracle_label,selected_percentile,pairwise_accuracy,random_top1,random_best_of_k,mean_best_of_k,best_of_k_low,best_of_k_high,verdict
1,real,controlled_decoy,hybrid,true_tm_like,40,1367,1.0,0.10404042183208728,0.7276937144227095,30.446078431372552,0.645532212885154,50.0,0.4186696215852287,0.22230365483703,0.35533994371275274,0.47948961507076265,below random
1,real,controlled_decoy,contact,true_tm_like,40,1367,1.0,0.08644448845986769,0.7276937144227095,28.394607843137255,0.6191596638655462,50.0,0.4186696215852287,0.17451700590982241,0.35533994371275274,0.47948961507076265,below random
1,real,controlled_decoy,low_clash,true_tm_like,40,1367,1.0,0.30041329563461905,0.7276937144227095,65.5724832765274,0.6631705182072829,50.0,0.4186696215852287,0.6184051265638796,0.35533994371275274,0.47948961507076265,above random
1,real,controlled_decoy,compact,true_tm_like,40,1367,1.0,0.09395864513861482,0.7276937144227095,27.254901960784316,0.6411081932773108,50.0,0.4186696215852287,0.19083530457190223,0.35533994371275274,0.47948961507076265,below random
1,real,controlled_decoy,plausibility,true_tm_like,40,1367,1.0,0.266543129001664,0.7276937144227095,54.50735294117648,0.7327065826330532,50.0,0.4186696215852287,0.515576418656596,0.35533994371275274,0.47948961507076265,above random
