method,verdict,best_of_5,random_low,random_high,mean_percentile_of_pick,hit@1,hit@5,hit@10,hit@25
hybrid,below random,0.22230365483703,0.35533994371275274,0.47948961507076265,30.446078431372552,0.0,0.075,0.325,1.0
contact,below random,0.17451700590982241,0.35533994371275274,0.47948961507076265,28.137254901960784,0.0,0.0,0.125,1.0
low_clash,above random,0.5761293049354943,0.35533994371275274,0.47948961507076265,66.47549019607843,0.0,0.45,0.825,1.0
compact,below random,0.19083530457190223,0.35533994371275274,0.47948961507076265,27.254901960784316,0.0,0.025,0.2,1.0
plausibility,above random,0.515576418656596,0.35533994371275274,0.47948961507076265,54.50735294117648,0.0,0.35,0.75,1.0
random,reference,0.4186696215852287,0.35533994371275274,0.47948961507076265,50.0,0.029895833333333333,0.14947916666666666,0.2989583333333333,0.7285714285714286
