target_id,method,candidate_sources,oracle_source,selected_top1_source,selected_top5_source_count,oracle_source_in_selected
2Q1O,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
2Q1O,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
2Q1O,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
2Q1O,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
2Q1O,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
3D2V,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3D2V,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3D2V,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3D2V,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3D2V,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DVZ,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DVZ,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DVZ,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DVZ,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DVZ,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DW4,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW4,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW4,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
3DW4,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW4,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DW5,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW5,contact,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
3DW5,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DW5,compact,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
3DW5,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DW6,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW6,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW6,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW6,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW6,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3DW7,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW7,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW7,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
3DW7,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3DW7,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3S7C,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3S7C,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3S7C,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
3S7C,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
3S7C,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
483D,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
483D,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
483D,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
483D,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
483D,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4JRD,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4JRD,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4JRD,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
4JRD,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4JRD,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4NLF,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NLF,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NLF,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4NLF,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NLF,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4NMG,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NMG,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NMG,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NMG,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4NMG,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4RBQ,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4RBQ,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4RBQ,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4RBQ,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4RBQ,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
4RNE,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4RNE,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4RNE,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
4RNE,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4RNE,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
4Y27,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4Y27,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4Y27,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
4Y27,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
4Y27,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5D99,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5D99,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5D99,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
5D99,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5D99,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5DA6,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
5DA6,contact,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
5DA6,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5DA6,compact,synthetic_decoy:30;template:5,synthetic_decoy,template,1,False
5DA6,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5MRX,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5MRX,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5MRX,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5MRX,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5MRX,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5NQI,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5NQI,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5NQI,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5NQI,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5NQI,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
5V2H,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5V2H,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5V2H,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
5V2H,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
5V2H,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
6Y0Y,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6Y0Y,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6Y0Y,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6Y0Y,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6Y0Y,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
6ZYB,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6ZYB,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6ZYB,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6ZYB,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
6ZYB,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7L3R,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7L3R,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7L3R,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7L3R,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7L3R,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7QP2,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
7QP2,contact,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
7QP2,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7QP2,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7QP2,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7QSH,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7QSH,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7QSH,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7QSH,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7QSH,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
7UCR,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7UCR,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7UCR,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7UCR,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
7UCR,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
8PFQ,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8PFQ,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8PFQ,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
8PFQ,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8PFQ,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
8QMH,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8QMH,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8QMH,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
8QMH,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
8QMH,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
