target_id,oracle_type,oracle_candidate,oracle_group,oracle_tm_like,oracle_rmsd,oracle_contact_f1,oracle_multi_metric_quality
R1107,tm_like,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.842809364548495,0.4593171674836568
R1107,multi_metric,casp15_R1107TS232_1,TS232,0.3176528586447821,4.231155566751421,0.842809364548495,0.4593171674836568
R1108,tm_like,casp15_R1108TS232_4,TS232,0.3262421322933785,4.148724446451004,0.8506944444444444,0.4672657193240294
R1108,multi_metric,casp15_R1108TS232_4,TS232,0.3262421322933785,4.148724446451004,0.8506944444444444,0.4672657193240294
R1116,tm_like,casp15_R1116TS285_5,TS285,0.0808181859429064,15.168135076218618,0.4341203351104341,0.1827679213960194
R1116,multi_metric,casp15_R1116TS285_5,TS285,0.0808181859429064,15.168135076218618,0.4341203351104341,0.1827679213960194
R1117,tm_like,casp15_R1117TS232_1,TS232,0.3678080341841362,1.5582638153807231,0.9577464788732396,0.5263991658816605
R1117,multi_metric,casp15_R1117TS232_1,TS232,0.3678080341841362,1.5582638153807231,0.9577464788732396,0.5263991658816605
R1126,tm_like,casp15_R1126TS232_4,TS232,0.3693317530910113,9.045281682888591,0.8259449370041998,0.4878491206104173
R1126,multi_metric,casp15_R1126TS232_2,TS232,0.366865639910126,9.093359467066524,0.8336063655511351,0.4885445756069224
R1128,tm_like,casp15_R1128TS232_1,TS232,0.6167446374930202,4.508694612110103,0.8976982097186701,0.6701934772860643
R1128,multi_metric,casp15_R1128TS232_1,TS232,0.6167446374930202,4.508694612110103,0.8976982097186701,0.6701934772860643
R1136,tm_like,casp15_R1136TS232_3,TS232,0.4589151895094623,7.614920056002128,0.8466561585228551,0.552291720738007
R1136,multi_metric,casp15_R1136TS232_3,TS232,0.4589151895094623,7.614920056002128,0.8466561585228551,0.552291720738007
R1138,tm_like,casp15_R1138TS232_4,TS232,0.1999908122841625,18.47285391036873,0.7694152923538231,0.3608186156908525
R1138,multi_metric,casp15_R1138TS232_4,TS232,0.1999908122841625,18.47285391036873,0.7694152923538231,0.3608186156908525
R1149,tm_like,casp15_R1149TS128_1,TS128,0.2467877619970491,7.2034738411063595,0.776036866359447,0.393223105205916
R1149,multi_metric,casp15_R1149TS128_1,TS128,0.2467877619970491,7.2034738411063595,0.776036866359447,0.393223105205916
R1156,tm_like,casp15_R1156TS128_5,TS128,0.2638305725614999,7.209887484951259,0.7900641025641025,0.4085091029342057
R1156,multi_metric,casp15_R1156TS128_5,TS128,0.2638305725614999,7.209887484951259,0.7900641025641025,0.4085091029342057
