heldout_oracle_group,model,feature,importance
TS128,invariant_rf,target_z_local_step_mean,0.00690641301231606
TS128,invariant_rf,target_z_turn_angle_mean,0.002931007267117066
TS232,invariant_gbr,num_residues,0.004715090820232067
TS232,invariant_gbr,radius_of_gyration,0.04656034869330607
TS232,invariant_gbr,end_to_end_distance,0.006851759763717364
TS232,invariant_gbr,contact_density,0.0
TS232,invariant_gbr,long_range_contact_density,0.006975494258315331
TS232,invariant_gbr,clashes_per_residue,0.0
TS232,invariant_gbr,backbone_break_fraction,0.0
TS232,invariant_gbr,compactness,0.0
TS232,invariant_gbr,score_contact,0.0
TS232,invariant_gbr,score_low_clash,0.0
TS232,invariant_gbr,score_compact,0.0019994774082989102
TS232,invariant_gbr,score_hybrid,0.0
TS232,invariant_gbr,contact_degree_mean,0.01255967415046692
TS232,invariant_gbr,contact_degree_std,0.011942092997564147
TS232,invariant_gbr,contact_degree_max,0.0
TS232,invariant_gbr,contact_degree_gini,0.27283401705340166
TS232,invariant_gbr,contact_components,0.0009284001069539838
TS232,invariant_gbr,largest_contact_component_fraction,0.0002614458868528807
TS232,invariant_gbr,contact_edge_span_mean,0.02504029438179118
TS232,invariant_gbr,contact_edge_span_std,0.1136186876232131
TS232,invariant_gbr,contact_order,0.05995924057824336
TS232,invariant_gbr,short_contact_fraction,0.0068508058310634634
TS232,invariant_gbr,medium_contact_fraction,0.0004960828190895595
TS232,invariant_gbr,long_contact_fraction,0.00442007232499051
TS232,invariant_gbr,near_distance_fraction,0.0
TS232,invariant_gbr,distance_p10,0.05561810727470171
TS232,invariant_gbr,distance_p25,0.008941071858665814
TS232,invariant_gbr,distance_p50,0.011714726937795246
TS232,invariant_gbr,distance_p75,0.010030140003815084
TS232,invariant_gbr,distance_p90,0.03786121391295275
TS232,invariant_gbr,local_step_mean,0.03001202867561818
TS232,invariant_gbr,local_step_std,0.000870769752765962
TS232,invariant_gbr,local_step_max,0.021115432293195208
TS232,invariant_gbr,turn_angle_mean,0.004275687117825988
TS232,invariant_gbr,turn_angle_std,0.007664109017032989
TS232,invariant_gbr,helix_like_local_fraction,0.0022261108858695616
TS232,invariant_gbr,target_z_radius_of_gyration,0.003946815140395259
TS232,invariant_gbr,target_z_end_to_end_distance,0.039576335197196034
TS232,invariant_gbr,target_z_contact_density,0.002149357967141469
TS232,invariant_gbr,target_z_long_range_contact_density,0.0006256591121723629
TS232,invariant_gbr,target_z_compactness,0.001779774365219089
TS232,invariant_gbr,target_z_contact_degree_mean,0.0003770820005970999
TS232,invariant_gbr,target_z_contact_degree_std,0.035031298675981336
TS232,invariant_gbr,target_z_contact_degree_max,0.0
TS232,invariant_gbr,target_z_contact_degree_gini,0.05173132780105749
TS232,invariant_gbr,target_z_contact_order,0.05107101088060729
TS232,invariant_gbr,target_z_distance_p50,0.0
TS232,invariant_gbr,target_z_local_step_mean,0.04334263200648709
TS232,invariant_gbr,target_z_turn_angle_mean,0.004026324425406512
TS232,invariant_rf,num_residues,0.003969785290125775
TS232,invariant_rf,radius_of_gyration,0.047766872249461106
TS232,invariant_rf,end_to_end_distance,0.014624829022806705
TS232,invariant_rf,contact_density,0.0021961953347041656
TS232,invariant_rf,long_range_contact_density,0.018364595140943765
TS232,invariant_rf,clashes_per_residue,0.0
TS232,invariant_rf,backbone_break_fraction,0.0
TS232,invariant_rf,compactness,0.007722997429691108
TS232,invariant_rf,score_contact,0.00216382000251945
TS232,invariant_rf,score_low_clash,8.058827828902824e-06
TS232,invariant_rf,score_compact,0.01585463469240457
TS232,invariant_rf,score_hybrid,0.0017577266511845855
TS232,invariant_rf,contact_degree_mean,0.003688597699888337
TS232,invariant_rf,contact_degree_std,0.011779436095133333
TS232,invariant_rf,contact_degree_max,0.005087612893847924
TS232,invariant_rf,contact_degree_gini,0.28888251206707
TS232,invariant_rf,contact_components,0.004964208318712136
TS232,invariant_rf,largest_contact_component_fraction,0.013865981379554082
TS232,invariant_rf,contact_edge_span_mean,0.012809761688467139
TS232,invariant_rf,contact_edge_span_std,0.13549050663030096
