method,repeats,mean_best_of_k_tm_like_mean,mean_best_of_k_tm_like_std,oracle_hit_rate_mean,oracle_hit_rate_std,oracle_hit_rate_max
invariant_rf,20,0.09852051379131152,0.026937849827519234,0.05,0.06882472016116854,0.2
invariant_ridge,20,0.14305722201951585,0.02056535043747427,0.030000000000000006,0.06569466853317862,0.2
invariant_gbr,20,0.11431056587940494,0.03278386553171137,0.025,0.04442616583193193,0.1
invariant_ensemble,20,0.09836405876408069,0.027523233572441914,0.01,0.03077935056255463,0.1
invariant_pairwise,20,0.11416826216834952,0.017447056983445845,0.005,0.0223606797749979,0.1
low_clash,20,0.11617554469036458,0.0,0.0,0.0,0.0
contact,20,0.06173876313387633,0.0,0.0,0.0,0.0
compact,20,0.059527780539453824,0.0,0.0,0.0,0.0
hybrid,20,0.05887758503040684,0.0,0.0,0.0,0.0
