method,targets,oracle_hit_rate,oracle_hit_rate_ci_low,oracle_hit_rate_ci_high,mean_best_of_k_tm_like,mean_best_of_k_ci_low,mean_best_of_k_ci_high
invariant_rf,7,0.14285714285714285,0.0,0.42857142857142855,0.12747474035844694,0.055760437053553685,0.21833672861332748
low_clash,7,0.0,0.0,0.0,0.1447630266128188,0.0719171885012593,0.22397913113248374
invariant_ensemble,7,0.0,0.0,0.0,0.11310514195366815,0.049640229032879714,0.19995224037562842
