method,verdict,best_of_5,random_low,random_high,mean_percentile_of_pick,hit@1,hit@5,hit@10,hit@25
hybrid,below random,0.05887758503040689,0.08333484643586948,0.2042865229506402,43.4501009341941,0.0,0.0,0.1,0.5
contact,below random,0.06173876313387637,0.08333484643586948,0.2042865229506402,40.234186661508275,0.0,0.0,0.1,0.5
low_clash,within random,0.1472557199948534,0.08333484643586948,0.2042865229506402,49.81306537335056,0.008114126271721592,0.04057063135860796,0.08114126271721592,0.20285315679303975
compact,below random,0.05952778053945388,0.08333484643586948,0.2042865229506402,40.96948077915533,0.0,0.0,0.1,0.3
plausibility,within random,0.0970164112006632,0.08333484643586948,0.2042865229506402,56.875481569113084,0.0,0.0,0.0,0.0
random,reference,0.13926326833874814,0.08333484643586948,0.2042865229506402,49.80526491133224,0.007236821676466912,0.03618410838233456,0.07236821676466912,0.18092054191167278
