heldout_oracle_group,params,n_estimators,max_depth,learning_rate,min_samples_leaf,inner_targets,inner_mean_best_of_k_tm_like,inner_mean_tm_like_regret,inner_oracle_hit_rate
TS232,ne240_d2_lr0.05_leaf1,240,2,0.05,1,3,0.10213605957014815,0.09500944726367029,0.0
TS232,ne240_d2_lr0.05_leaf4,240,2,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS285,ne80_d1_lr0.03_leaf1,80,1,0.03,1,9,0.20563071089355361,0.14629192822405773,0.1111111111111111
TS285,ne80_d1_lr0.03_leaf4,80,1,0.03,4,9,0.20563071089355361,0.14629192822405773,0.1111111111111111
TS285,ne80_d1_lr0.05_leaf1,80,1,0.05,1,9,0.23077878835365517,0.1211438507639562,0.3333333333333333
TS285,ne80_d1_lr0.05_leaf4,80,1,0.05,4,9,0.23077878835365517,0.1211438507639562,0.3333333333333333
TS285,ne80_d2_lr0.03_leaf1,80,2,0.03,1,9,0.21917330480804276,0.1327493343095686,0.3333333333333333
TS285,ne80_d2_lr0.03_leaf4,80,2,0.03,4,9,0.21917330480804276,0.1327493343095686,0.3333333333333333
TS285,ne80_d2_lr0.05_leaf1,80,2,0.05,1,9,0.22203588612482641,0.12988675299278496,0.2222222222222222
TS285,ne80_d2_lr0.05_leaf4,80,2,0.05,4,9,0.22940900436747494,0.12251363475013642,0.3333333333333333
TS285,ne160_d1_lr0.03_leaf1,160,1,0.03,1,9,0.21322305362735372,0.13869958549025763,0.2222222222222222
TS285,ne160_d1_lr0.03_leaf4,160,1,0.03,4,9,0.21322305362735372,0.13869958549025763,0.2222222222222222
TS285,ne160_d1_lr0.05_leaf1,160,1,0.05,1,9,0.23908600740827587,0.1128366317093355,0.4444444444444444
TS285,ne160_d1_lr0.05_leaf4,160,1,0.05,4,9,0.23908600740827587,0.1128366317093355,0.4444444444444444
TS285,ne160_d2_lr0.03_leaf1,160,2,0.03,1,9,0.219112862678316,0.13280977643929534,0.2222222222222222
TS285,ne160_d2_lr0.03_leaf4,160,2,0.03,4,9,0.2176444113836578,0.13427822773395356,0.2222222222222222
TS285,ne160_d2_lr0.05_leaf1,160,2,0.05,1,9,0.21983157545804957,0.13209106365956177,0.2222222222222222
TS285,ne160_d2_lr0.05_leaf4,160,2,0.05,4,9,0.22390146156424728,0.12802117755336406,0.3333333333333333
TS285,ne240_d1_lr0.03_leaf1,240,1,0.03,1,9,0.22503233861130598,0.12689030050630534,0.3333333333333333
TS285,ne240_d1_lr0.03_leaf4,240,1,0.03,4,9,0.22503233861130598,0.12689030050630534,0.3333333333333333
TS285,ne240_d1_lr0.05_leaf1,240,1,0.05,1,9,0.22593171470650317,0.1259909244111082,0.4444444444444444
TS285,ne240_d1_lr0.05_leaf4,240,1,0.05,4,9,0.22593171470650317,0.1259909244111082,0.4444444444444444
TS285,ne240_d2_lr0.03_leaf1,240,2,0.03,1,9,0.23127457980689586,0.12064805931071551,0.4444444444444444
TS285,ne240_d2_lr0.03_leaf4,240,2,0.03,4,9,0.2258710052401682,0.12605163387744317,0.3333333333333333
TS285,ne240_d2_lr0.05_leaf1,240,2,0.05,1,9,0.2269433682120525,0.12497927090555885,0.3333333333333333
TS285,ne240_d2_lr0.05_leaf4,240,2,0.05,4,9,0.22096603225754763,0.13095660686006372,0.3333333333333333
